Timestamp;Frame;Sts;Lat;Lon;Altitude;Pressure;Temperature;Acceleration X;Acceleration Y;Acceleration Z; Annex 0;Annex 1;
[17:56:49.309] ;52 18 2e 00 f3 81 c3 19 2d 5b f6 ff b2 01 74 0e 3f 01 67 fd ec ff ea ff 00 00 45;69;432243187;-632019;434;3020882;3700;319;-665;-20;-22;0
[17:56:49.812] ;1a 39 2e 00 1e 82 c3 19 2d 55 f6 ff b2 01 6c 0e 7e 01 33 fd a1 ff e9 ff 00 00 45;69;432243230;-633555;434;3029274;3692;382;-717;-95;-23;0
[17:56:50.323] ;a2 5b 2e 00 ca 82 c3 19 2c 3d f6 ff b2 01 6c 0e 3b 01 01 fd d4 ff ea ff 00 00 45;69;432243402;-639700;434;3038114;3692;315;-767;-44;-22;0
[17:56:50.831] ;7d 80 2e 00 20 83 c3 19 2b 31 f6 ff b2 01 67 0e 2a 03 87 fc 76 ff ea ff 00 00 45;69;432243488;-642773;434;3047549;3687;810;-889;-138;-22;0
[17:56:51.380] ;0a aa 2e 00 76 83 c3 19 2b 25 f6 ff b2 01 56 0e 6d 01 0b fc c1 fe e9 ff 00 00 45;69;432243574;-645845;434;3058186;3670;365;-1013;-319;-23;0
[17:56:51.859] ;2b d4 2e 00 f7 83 c3 19 2a 13 f6 ff b2 01 5a 0e 82 02 f8 fb 23 ff ea ff 00 00 45;69;432243703;-650454;434;3068971;3674;642;-1032;-221;-22;0
[17:56:52.370] ;74 00 2f 00 78 84 c3 19 29 01 f6 ff b2 01 53 0e fb 02 a1 fb e1 ff e9 ff 00 00 45;69;432243832;-655063;434;3080308;3667;763;-1119;-31;-23;0
[17:56:52.927] ;72 2f 2f 00 17 23 c3 19 8c 36 f5 ff cf 06 50 0e 87 02 23 fb 11 ff e9 ff 00 00 45;69;432218903;-706932;1743;3092338;3664;647;-1245;-239;-23;0
[17:56:53.384] ;8c 5f 2f 00 dc 22 c3 19 13 31 f5 ff cf 06 46 0e 85 02 c4 fa b6 fe e9 ff 00 00 45;69;432218844;-708333;1743;3104652;3654;645;-1340;-330;-23;0
[17:56:53.894] ;73 91 2f 00 2b 22 c3 19 a9 20 f5 ff d1 06 41 0e de 03 c4 fa 55 ff e9 ff 00 00 45;69;432218667;-712535;1745;3117427;3649;990;-1340;-171;-23;0
[17:56:54.403] ;4d c3 2f 00 1e 7a c2 19 72 cb f3 ff 0f 0e 3b 0e c3 02 69 fa 52 fe e9 ff 00 00 4d;77;432175646;-799886;3599;3130189;3643;707;-1431;-430;-23;0
[17:56:54.905] ;70 f5 2f 00 7e 61 c2 19 87 7d f3 ff 52 0f 30 0e 11 03 5e fa 76 00 e9 ff 00 00 4d;77;432169342;-819833;3922;3143024;3632;785;-1442;118;-23;0
[17:56:55.414] ;49 2a 30 00 f3 5c c2 19 c5 60 f3 ff 96 0f 2f 0e 99 02 d3 f9 cb fe e9 ff 00 00 4d;77;432168179;-827195;3990;3156553;3631;665;-1581;-309;-23;0
[17:56:55.925] ;76 5f 30 00 47 5a c2 19 87 3c f3 ff cd 0f 2a 0e b2 02 9c f9 8d ff e9 ff 00 00 4d;77;432167495;-836473;4045;3170166;3626;690;-1636;-115;-23;0
[17:56:56.500] ;b7 93 30 00 10 5a c2 19 a3 26 f3 ff e2 0f 1e 0e 6f 04 70 f9 6b ff e8 ff 00 00 4d;77;432167440;-842077;4066;3183543;3614;1135;-1680;-149;-24;0
